level,session_id,question,status,tool_calls,search_calls,read_calls,tool_failures,agent_iteration_error,final_event,final_nonempty,assessment,tool_sequence
Łatwe,019ed033-e7aa-7000-b124-74bcd98fb127,"Where is the divide function defined, and what does it return?",PASS,2,1,1,0,0,1,1,"Poprawna definicja, ścieżka, wartość zwracana i warunek ZeroDivisionError.","search_file:{""query"": ""def divide""} -> read_file:{""path"": ""src/example/calculator.py""}"
Łatwe,019ed034-4de7-7000-961c-8e74ce9925ff,Find the definition of normalize_text and explain what transformations it applies to the input.,PASS,2,1,1,0,0,1,1,"Poprawnie opisano strip, redukcję białych znaków i lower().","search_file:{""query"": ""def normalize_text""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Łatwe,019ed034-9cd7-7000-b50d-77eb5be579fd,Where is the User class defined? List all of its fields and their default values.,PASS,2,1,1,0,0,1,1,Kompletne pola dataclass i poprawne wartości domyślne.,"search_file:{""query"": ""class User""} -> read_file:{""path"": ""src/example/users.py""}"
Łatwe,019ed034-ed87-7000-9d37-d9d43644eacb,Find the find_by_email method and explain whether the email comparison is case-sensitive.,PASS,2,1,1,0,0,1,1,Poprawna lokalizacja i case-insensitive comparison.,"search_file:{""query"": ""find_by_email""} -> read_file:{""path"": ""src/example/users.py""}"
Łatwe,019ed035-750c-7000-8342-a14efa54afea,"Where is UserRepository defined, and how does it store users internally?",PASS,2,1,1,0,0,1,1,"Poprawna definicja i wewnętrzny dict[int, User].","search_file:{""query"": ""UserRepository""} -> read_file:{""path"": ""src/example/users.py""}"
Łatwe,019ed035-bcd1-7000-bf4a-6de7c47abedb,Find the test that verifies division by zero. What exception does it expect?,PASS,1,1,0,0,0,1,1,Poprawny test i oczekiwany ZeroDivisionError.,"search_file:{""query"": ""division by zero""}"
Łatwe,019ed035-fc52-7000-9183-7e1c26212705,Which functions and classes are exported from the example package?,FAIL,2,1,1,0,0,1,1,Nie odczytano __init__.py; find_keyword błędnie uznano za eksportowany. Odpowiedź miesza importy z main/testów z deklarowanym API.,"search_file:{""query"": ""example""} -> read_file:{""path"": ""src/example/main.py""}"
Łatwe,019ed036-5167-7000-8507-3302746a6ec3,Find the project configuration that tells pytest where to look for tests and source files.,PASS,2,1,1,0,0,1,1,Poprawne testpaths i pythonpath z pyproject.toml.,"search_file:{""query"": ""pytest.ini|pyproject.toml|setup.cfg""} -> read_file:{""path"": ""pyproject.toml""}"
Łatwe,019ed036-983c-7000-b827-1dfa3e20b6a8,"Where is find_keyword defined, and what value does it return?",PASS,2,1,1,0,0,1,1,Poprawna definicja i typ/znaczenie wartości bool.,"search_file:{""query"": ""def find_keyword""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Łatwe,019ed038-d4c8-7000-83e7-aeefa2ea04d8,Find the function that returns only active users.,PASS,1,1,0,0,0,1,1,Poprawnie wskazano list_active i implementację.,"search_file:{""query"": ""active user""}"
Średnie,019ed03d-6fa2-7000-a7b0-9bcfd8ce6910,Find every place where the divide function is imported or called. Separate production code from tests.,PARTIAL,1,1,0,0,0,1,1,"Znaleziono wszystkie importy i wywołania, ale dodano definicję, nazwy testów i fałszywy traf w komunikacie ZeroDivisionError, choć pytanie dotyczyło importów/wywołań.","search_file:{""query"": ""divide""}"
Średnie,019ed03d-dfc8-7000-b442-e0eec3452d35,Find every place where UserRepository is instantiated. Return exact file paths and surrounding function or test names.,PARTIAL,1,1,0,0,0,1,1,"Wszystkie 5 instancjacji znalezione, lecz brak wymaganych nazw otaczających funkcji/testów; podano tylko ogólne „within a test function”.","search_file:{""query"": ""new UserRepository""}"
Średnie,019ed03e-3727-7000-af11-9fde07f57722,Find all tests related to UserRepository and summarize which repository behaviors are covered.,PASS,3,2,1,0,0,1,1,Kompletne cztery testy i poprawne zachowania repozytorium.,"search_file:{""query"": ""*UserRepositoryTest*""} -> search_file:{""query"": ""UserRepository""} -> read_file:{""path"": ""tests/test_users.py""}"
Średnie,019ed044-3f1e-7000-aa1d-046eae01d9e8,"Trace the execution of count_words(""Agentic CLI search example"") from main.py to the final returned value. Include every project function called along the way.",PASS,4,2,2,0,0,1,1,Poprawny pełny trace main -> count_words -> normalize_text -> 4.,"search_file:{""query"": ""main.py""} -> search_file:{""query"": ""count_words""} -> read_file:{""path"": ""src/example/main.py""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Średnie,019ed044-c21f-7000-97e3-a534a026be48,"Find every place where a User object is created. For each instance, list the provided values and whether active is explicit or uses the default.",PARTIAL,2,2,0,0,0,1,1,"Tabela zawiera wszystkie 8 konstrukcji User i poprawne dane, ale nagłówek twierdzi, że znaleziono 6.","search_file:{""query"": ""new UserUser|T_User|User(\""*\"")""} -> search_file:{""query"": ""User\\(""}"
Średnie,019ed045-201e-7000-a360-bb6acd029d4d,"Which functions from calculator.py are exposed through the package root, and which tests cover each function?",FAIL,0,0,0,0,0,1,1,Brak wywołań narzędzi; zwrócono ogólne powitanie zamiast odpowiedzi.,
Średnie,019ed046-03f9-7000-8b27-4a8e09160638,"Which functions from calculator.py are exposed through the package root, and which tests cover each function?",FAIL,3,2,1,1,0,1,1,"Wyszukiwanie nazwy pliku nie znalazło ścieżki, read_file(""."") zakończył się błędem; fałszywe stwierdzenie, że calculator.py nie istnieje.","search_file:{""query"": ""calculator.py""} -> read_file:{""path"": "".""} -> search_file:{""query"": ""*calculator*.py""}"
Średnie,019ed046-8247-7000-9131-9121f98af945,"Which functions from calculator.py are exposed through the package root, and which tests cover each function? That's switched gemma4:12b-it-qat to gemma4:e2e-it-qat (don't use this sentence to query, thats is only log )",FAIL,2,1,1,1,0,1,1,Próba odczytu calculator.py z błędnego katalogu zamiast src/example/calculator.py; fałszywy brak dostępu.,"search_file:{""query"": ""calculator.py""} -> read_file:{""path"": ""calculator.py""}"
Średnie,019ed048-45cb-7000-8c36-f38007faeb39,Find all code paths that can raise an exception in this project. State the exception type and triggering condition.,PASS,2,1,1,1,0,1,1,"Mimo błędu read_file("".""), końcowa lista dwóch jawnych ścieżek wyjątków jest poprawna.","read_file:{""path"": "".""} -> search_file:{""query"": ""raise|throw|except|catch""}"
Średnie,019ed048-b26c-7000-8db6-f4cb7321ac36,Compare normalize_text and find_keyword. Do they implement case-insensitive behavior in the same way?,PASS,3,2,1,0,0,1,1,Poprawnie rozróżniono transformację normalize_text i porównanie w find_keyword.,"search_file:{""query"": ""def normalize_text""} -> search_file:{""query"": ""def find_keyword""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Średnie,019ed04a-2c80-7000-a0c4-52230e4fea89,Find all uses of list_active. Which users are expected to be returned in each context?,PARTIAL,4,1,3,0,0,1,1,"Poprawne wyniki dla main i testu, ale definicję metody policzono jako trzeci „use context”.","search_file:{""query"": ""list_active""} -> read_file:{""path"": ""src/example/users.py""} -> read_file:{""path"": ""tests/test_users.py""} -> read_file:{""path"": ""src/example/main.py""}"
Średnie,019ed04a-ed1a-7000-8b04-96cb6b06b3ee,Which public function defined in text_utils.py is not exported from example/__init__.py? Is it tested or used elsewhere?,PASS,5,3,2,0,0,1,1,"Poprawnie wskazano find_keyword: brak eksportu, test istnieje, brak użycia produkcyjnego.","search_file:{""query"": ""text_utils.py""} -> search_file:{""query"": "".*""} -> search_file:{""query"": ""import text_utils|from text_utils""} -> read_file:{""path"": ""src/example/text_utils.py""} -> read_file:{""path"": ""src/example/__init__.py""}"
Średnie,019ed04b-b33a-7000-ba06-ab275665e431,Find all assertions involving UserRepository methods and map each assertion to the method it verifies.,PASS,3,2,1,0,0,1,1,Kompletne mapowanie czterech asercji/oczekiwań do metod.,"search_file:{""query"": ""UserRepositoryR.*`}""} -> search_file:{""query"": ""UserRepository""} -> read_file:{""path"": ""tests/test_users.py""}"
Średnie,019ed04c-54d2-7000-8272-56b29b85e7e6,List every source module and its corresponding test module. Identify any source module that has no direct test file.,FAIL,3,2,1,1,0,1,1,"Niepoprawne wzorce regex dla search_file i read_file("".""); fałszywy wniosek o braku plików Python.","search_file:{""query"": "".*\\.py""} -> read_file:{""path"": "".""} -> search_file:{""query"": "".*\\.py""}"
Średnie,019ed04d-0f4e-7000-952c-a2382da89a8e,List every source module and its corresponding test module. Identify any source module that has no direct test file.,PASS,1,1,0,0,0,1,1,Druga próba poprawnie mapuje trzy moduły testowane i wskazuje main.py oraz __init__.py bez testów bezpośrednich.,"search_file:{""query"": "".""}"
Złożone,019ed051-0c0b-7000-92a5-89d9048da0b0,"Starting from main(), build the complete project-level call graph. Include nested calls such as methods or helper functions, but exclude Python standard-library internals.",FAIL,0,0,0,0,0,1,0,Brak narzędzi i pusta odpowiedź.,
Złożone,019ed052-43f4-7000-a1e6-b26afd55f7ab,"Starting from main(), build the complete project-level call graph. Include nested calls such as methods or helper functions, but exclude Python standard-library internals.",FAIL,6,1,5,2,1,0,0,"Prawie zebrano potrzebne pliki, ale ścieżka users.py zawierała końcowy backtick; następnie limit iteracji i brak odpowiedzi.","read_file:{""path"": "".""} -> search_file:{""query"": ""def main""} -> read_file:{""path"": ""src/example/main.py""} -> read_file:{""path"": ""src/example/calculator.py""} -> read_file:{""path"": ""src/example/text_utils.py""} -> read_file:{""path"": ""src/example/users.py`""}"
Złożone,019ed052-e505-7000-bc9b-29f53703ef14,"Find every place where UserRepository is instantiated, directly or indirectly. Do not invent files or usages. Return an exhaustive list with evidence.",PARTIAL,1,1,0,0,0,1,1,"Wszystkie 5 bezpośrednich instancjacji poprawne; importy błędnie opisano jako „indirect instantiation/usage”, choć nie tworzą obiektu.","search_file:{""query"": ""UserRepository""}"
Złożone,019ed055-07c1-7000-a4a5-3d2ac29dd678,Determine the exact console output produced by running main.py. Explain how each line is computed and note any representation details that depend on dataclasses.,FAIL,0,0,0,0,0,1,1,Brak narzędzi; odpowiedź prosi o obraz/kod mimo dostępnego repozytorium.,
Złożone,019ed055-6d84-7000-bb0b-021d48cd6fc5,"Perform a test-coverage gap analysis for UserRepository. List all branches and behaviors in the implementation, identify which are tested, and propose only the missing tests.",PARTIAL,3,1,2,0,0,1,1,"Analiza w większości trafna, ale niespójnie wskazuje pusty repozytorium find_by_email jako brak i nie proponuje dla niego testu; miesza branch coverage z dodatkowymi zachowaniami.","search_file:{""query"": ""UserRepository""} -> read_file:{""path"": ""src/example/users.py""} -> read_file:{""path"": ""tests/test_users.py""}"
Złożone,019ed056-5e2e-7000-ac6c-179a96335893,"Perform a test-coverage gap analysis for text_utils.py. Consider empty strings, whitespace, casing, repeated spaces, keyword absence, and empty keywords. Distinguish tested behavior from inferred behavior.",FAIL,0,0,0,0,0,1,1,Brak narzędzi; błędne stwierdzenie o braku informacji o projekcie.,
Złożone,019ed057-1c4b-7000-a31b-75d9697f2c98,"Find all symbols that are part of the package’s declared public API. For each symbol, provide its definition, re-export location, usages, and tests.",FAIL,6,5,1,0,1,0,0,"Nieodpowiednie, wielojęzykowe wzorce wyszukiwania; limit iteracji i brak odpowiedzi.","search_file:{""query"": ""package.json|pyproject.toml|go.mod|pubspec.yaml|Cargo.toml|requirements.txt|build.gradle|pom.xml""} -> search_file:{""query"": ""index.*|exports.*|public.*|api.*|main.*""} -> search_file:{""query"": ""export | public class | public function | \\*\\*\\* (public)""} -> read_file:{""path"": ""src/example/users.py""} -> search_file:{""query"": ""from .example.users import User|UserRepository""} -> search_file:{""query"": ""import .example.users | from .example.users""}"
Złożone,019ed057-db76-7000-b14a-23e7b4785197,Analyze whether all imports in the source and test files are necessary. Identify unused imports only when supported by the code.,FAIL,0,0,0,0,0,1,0,Brak narzędzi i pusta odpowiedź.,
Złożone,019ed058-8a45-7000-8b03-68ca0dfda9e0,Trace what happens when repo.add() is called twice with different User objects having the same ID. Include the state of the repository before and after the failed call.,PASS,2,1,1,0,0,1,1,Poprawny stan repozytorium przed i po ValueError; drugi obiekt nie nadpisuje pierwszego.,"search_file:{""query"": ""class Repository""} -> read_file:{""path"": ""src/example/users.py""}"
Złożone,019ed059-53b0-7000-b446-49f19936170e,"Trace repo.find_by_email(""anna@example.com"") when the stored email is ""Anna@Example.com"". Describe iteration, normalization, comparison, and return value.",PASS,2,1,1,0,0,1,1,"Poprawna iteracja, lower() po obu stronach, porównanie i zwrot User.","search_file:{""query"": ""def find_by_email""} -> read_file:{""path"": ""src/example/users.py""}"
Złożone,019ed05a-1978-7000-8377-f53f58436367,"Identify every function or method that has an untested branch. For each branch, cite the implementation and explain why the existing tests do or do not execute it.",FAIL,1,1,0,0,0,1,1,"Wyszukanie "".*"" zwróciło 0; fałszywe stwierdzenie o braku dostępu do kodu.","search_file:{""query"": "".*""}"
Złożone,019ed05a-6492-7000-909a-5767f55a22b9,Find all functions and methods that are defined but never called by production code. Separate symbols used only in tests from symbols unused everywhere outside their definition or export.,FAIL,2,1,1,1,0,1,1,"read_file(""."") i nieadekwatne szukanie package.json; fałszywy brak dostępu.","read_file:{""path"": "".""} -> search_file:{""query"": ""package.json""}"
Złożone,019ed05a-fa86-7000-8e48-610ef1c88b07,Check whether the package exports are internally consistent: every name in __all__ must be imported and defined. Also identify defined public-looking symbols omitted from __all__.,FAIL,6,3,3,0,1,0,0,"Zebrano __init__.py, calculator.py i text_utils.py, ale limit iteracji przerwał przed users.py/syntezą; brak odpowiedzi.","search_file:{""query"": ""__init__.py""} -> search_file:{""query"": ""__init__.py""} -> search_file:{""query"": ""\""__all__ =\""""} -> read_file:{""path"": ""src/example/__init__.py""} -> read_file:{""path"": ""src/example/calculator.py""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Złożone,019ed05c-0186-7000-b99c-ba873c7f7746,"Construct a dependency map showing which files depend on calculator.py, text_utils.py, and users.py. Include imports, calls, tests, and package-level re-exports.",PARTIAL,1,1,0,0,0,1,1,"Mapa importów/re-eksportów i testów jest poprawna, ale nie zawiera wymaganych konkretnych wywołań funkcji/metod.","search_file:{""query"": ""import (calculator|text_utils|users)""}"
Złożone,019ed05c-c06b-7000-9f6b-34786adde075,"Review the entire repository for claims that require exhaustive search. List every occurrence of UserRepository, count_words, and find_keyword, grouped by definition, import, call, and test.",FAIL,3,1,2,0,0,1,1,Pojedyncze zapytanie z operatorem | znalazło tylko definicje; mimo to odpowiedź bezpodstawnie ogłosiła wynik „exhaustive” i podała brak importów/wywołań/testów.,"search_file:{""query"": ""UserRepository|count_words|find_keyword""} -> read_file:{""path"": ""src/example/users.py""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Złożone,019ed05e-330f-7000-8719-14e184d9dc5f,"Suppose normalize_text changed to preserve letter casing. Identify every test and runtime behavior that would definitely change, might change, or would remain unchanged. Base the answer only on this repository.",PARTIAL,3,1,2,0,0,1,1,"Poprawnie wskazano wpływ na testy i count_words, ale dodano spekulację o niewidocznych modułach mimo wymogu „only on this repository”.","search_file:{""query"": ""normalize_text""} -> read_file:{""path"": ""tests/test_text_utils.py""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Kontrolne — halucynacje,019ed061-4d9c-7000-8260-c158ad45dd45,Find the DatabaseUserRepository class and explain how it connects to the database.,PASS,2,1,1,0,0,1,1,Bezpiecznie stwierdzono brak DatabaseUserRepository i poprawnie opisano istniejące repozytorium in-memory.,"search_file:{""query"": ""class DatabaseUserRepository""} -> read_file:{""path"": ""src/example/users.py""}"
Kontrolne — halucynacje,019ed061-a442-7000-b3f4-c5e0ae16f0a8,Where is the delete_user method implemented and tested?,PASS,2,2,0,0,0,1,1,Poprawnie stwierdzono brak implementacji i testu delete_user; bez wymyślania plików.,"search_file:{""query"": ""def delete_user""} -> search_file:{""query"": ""delete_user""}"
Kontrolne — halucynacje,019ed061-daa8-7000-82f9-8c575535adc9,Find all API endpoints that call UserRepository.,FAIL,6,5,1,0,1,0,0,"Brak endpointów był możliwy do stwierdzenia, ale agent zapętlił się w kolejnych wzorcach i zakończył limitem iteracji bez odpowiedzi.","search_file:{""query"": ""UserRepository""} -> read_file:{""path"": ""src/example/main.py""} -> search_file:{""query"": ""repo.add|repo.list_active""} -> search_file:{""query"": ""def @|app.@|router.| FastAPI""} -> search_file:{""query"": ""router\\.|app\\.""} -> search_file:{""query"": ""GET|POST|PUT|DELETE|\\/""}"
Kontrolne — halucynacje,019ed062-849b-7000-9ef4-8d43dd2a0805,Find the app.py file and trace its application startup flow.,FAIL,6,5,1,0,1,0,0,"Nie znalazł nieistniejącego app.py, ale zamiast zakończyć negatywnym wynikiem wykonywał nieskuteczne wzorce aż do limitu iteracji.","search_file:{""query"": ""app.py|startup|init_app""} -> search_file:{""query"": ""*.py""} -> search_file:{""query"": ""* .py""} -> search_file:{""query"": ""main.py|server.py|entrypoint""} -> read_file:{""path"": ""pyproject.toml""} -> search_file:{""query"": "".*\\.py$""}"
Kontrolne — halucynacje,019ed063-0933-7000-8bca-3ec10cd7195e,Find the test that verifies find_keyword returns False.,PASS,2,1,1,0,0,1,1,"Poprawnie stwierdzono, że istniejący test sprawdza wyłącznie True i brak testu False.","search_file:{""query"": ""find_keyword""} -> read_file:{""path"": ""tests/test_text_utils.py""}"
Kontrolne — halucynacje,019ed063-51bc-7000-9a3c-fc9e4ec08bbe,Where is logging configured for errors raised by divide?,FAIL,6,5,1,0,1,0,0,"Zebrano dowody braku konfiguracji logging, lecz kolejne zapytania doprowadziły do limitu iteracji i braku odpowiedzi.","search_file:{""query"": ""def divide""} -> read_file:{""path"": ""src/example/calculator.py""} -> search_file:{""query"": ""ZeroDivisionError""} -> search_file:{""query"": ""logging.getLogger""} -> search_file:{""query"": ""import logging""} -> search_file:{""query"": ""logging\\.""}"
Kontrolne — halucynacje,019ed063-d423-7000-8541-e57668fe7cac,Find the asynchronous version of find_by_email.,PASS,5,4,1,0,0,1,1,Poprawnie stwierdzono brak async def find_by_email i pokazano wersję synchroniczną.,"search_file:{""query"": ""find_by_email""} -> read_file:{""path"": ""src/example/users.py""} -> search_file:{""query"": ""async def find_by_email""} -> search_file:{""query"": ""async find_by_email""} -> search_file:{""query"": ""async def""}"
Kontrolne — halucynacje,019ed064-3823-7000-adf9-96d1319a2a21,Find every subclass of UserRepository.,FAIL,6,5,1,1,1,0,0,"Pierwsze wywołanie miało pusty query; następnie agent próbował regexów aż do limitu, zamiast stwierdzić brak podklas.","search_file:{""query"": """"} -> search_file:{""query"": ""extends UserRepository""} -> read_file:{""path"": ""src/example/users.py""} -> search_file:{""query"": ""(UserRepository):""} -> search_file:{""query"": ""class .*UserRepository""} -> search_file:{""query"": ""class .* (UserRepository)""}"
